Id,Source,Target,Type,Weight
355,13,89,Undirected,4436
356,13,95,Undirected,4703
357,13,106,Undirected,4583
358,13,107,Undirected,4413
359,13,125,Undirected,232
360,14,1,Undirected,220
361,14,12,Undirected,166
362,14,13,Undirected,461
363,14,15,Undirected,333
364,14,16,Undirected,343
365,14,18,Undirected,11964
366,14,19,Undirected,12351
367,14,24,Undirected,9548
368,14,26,Undirected,9356
369,14,27,Undirected,189
370,14,30,Undirected,366
371,14,31,Undirected,2661
372,14,32,Undirected,350
373,14,33,Undirected,227
374,14,34,Undirected,299
375,14,35,Undirected,283
376,14,37,Undirected,565
377,14,39,Undirected,241
378,14,42,Undirected,245
379,14,48,Undirected,3911
380,14,54,Undirected,1120
381,14,57,Undirected,1432
382,14,63,Undirected,276
383,14,64,Undirected,1486
384,14,67,Undirected,7930
385,14,71,Undirected,168
386,14,77,Undirected,278
387,14,79,Undirected,4895
388,14,80,Undirected,9351
389,14,83,Undirected,713
390,14,84,Undirected,1792
391,14,94,Undirected,5079
392,14,96,Undirected,173
393,14,98,Undirected,540
394,14,99,Undirected,1429
395,14,103,Undirected,187
396,14,105,Undirected,199
397,14,109,Undirected,281
398,14,110,Undirected,2135
399,14,112,Undirected,343
400,14,113,Undirected,251
401,14,114,Undirected,252
402,14,115,Undirected,1183
403,14,119,Undirected,337
404,14,124,Undirected,755
405,14,125,Undirected,7887
406,14,134,Undirected,3987
407,14,135,Undirected,6497
408,15,34,Undirected,6863
409,15,36,Undirected,2020
410,15,38,Undirected,10148
411,15,50,Undirected,8200
412,15,54,Undirected,638
413,15,70,Undirected,602
414,15,75,Undirected,3271
415,15,76,Undirected,1238
416,15,81,Undirected,4792
417,15,82,Undirected,9903
418,15,90,Undirected,839
419,15,92,Undirected,2395
420,15,98,Undirected,1589
421,15,99,Undirected,10164
422,15,102,Undirected,2100
423,15,104,Undirected,2084
424,15,105,Undirected,6282
425,15,118,Undirected,1093
426,15,121,Undirected,4513
427,15,131,Undirected,1168
429,16,11,Undirected,850
430,16,21,Undirected,2019
431,16,25,Undirected,8112
432,16,30,Undirected,11496
433,16,32,Undirected,3381
434,16,33,Undirected,2269
435,16,37,Undirected,12468
436,16,52,Undirected,11170
437,16,57,Undirected,35572
438,16,59,Undirected,194
439,16,66,Undirected,1170
440,16,72,Undirected,2058
441,16,74,Undirected,4674
442,16,85,Undirected,3669
443,16,93,Undirected,1513
444,16,103,Undirected,215
445,16,105,Undirected,246
446,16,108,Undirected,2103
447,16,109,Undirected,8447
448,16,112,Undirected,3654
449,16,113,Undirected,3530
450,16,121,Undirected,922
451,16,125,Undirected,1465
452,16,126,Undirected,2260
453,16,129,Undirected,4624
454,17,3,Undirected,1439
458,17,10,Undirected,164
459,17,11,Undirected,252
460,17,13,Undirected,153
461,17,14,Undirected,602
462,17,18,Undirected,192
463,17,19,Undirected,179
464,17,20,Undirected,7790
465,17,22,Undirected,8211
466,17,23,Undirected,9682
467,17,24,Undirected,501
468,17,26,Undirected,244
469,17,28,Undirected,1348
470,17,29,Undirected,532
471,17,30,Undirected,203
472,17,33,Undirected,175
473,17,37,Undirected,277
474,17,38,Undirected,321
475,17,39,Undirected,10697
476,17,43,Undirected,598
477,17,44,Undirected,1819
478,17,45,Undirected,1513
479,17,46,Undirected,10960
480,17,50,Undirected,230
481,17,51,Undirected,268
482,17,53,Undirected,176
483,17,57,Undirected,209
484,17,61,Undirected,736
485,17,62,Undirected,174
486,17,67,Undirected,421
488,17,70,Undirected,6977
489,17,73,Undirected,5669
490,17,75,Undirected,2769
491,17,77,Undirected,4759
492,17,79,Undirected,170
493,17,81,Undirected,525
494,17,82,Undirected,213
495,17,83,Undirected,1405
496,17,84,Undirected,7927
497,17,88,Undirected,1158
498,17,89,Undirected,6412
499,17,90,Undirected,614
500,17,97,Undirected,4367
501,17,98,Undirected,6462
502,17,99,Undirected,182
503,17,100,Undirected,4270
504,17,101,Undirected,7798
505,17,102,Undirected,7172
506,17,103,Undirected,183
507,17,104,Undirected,1132
508,17,105,Undirected,4491
509,17,106,Undirected,6402
510,17,108,Undirected,280
511,17,111,Undirected,4586
512,17,112,Undirected,8982
513,17,116,Undirected,3935
514,17,117,Undirected,9577
515,17,119,Undirected,3959
516,17,123,Undirected,353
517,17,127,Undirected,602
518,17,131,Undirected,495
519,17,133,Undirected,2255
520,18,6,Undirected,720
521,18,7,Undirected,464
522,18,8,Undirected,193
523,18,9,Undirected,376
524,18,13,Undirected,187
526,18,19,Undirected,4363
527,18,24,Undirected,1196
528,18,26,Undirected,2566
529,18,28,Undirected,513
530,18,31,Undirected,2262
531,18,35,Undirected,200
532,18,37,Undirected,644
533,18,42,Undirected,644
534,18,46,Undirected,234
535,18,48,Undirected,4861
536,18,54,Undirected,375
537,18,67,Undirected,9141
538,18,79,Undirected,856
539,18,80,Undirected,1937
540,18,84,Undirected,1512
541,18,94,Undirected,2909
542,18,98,Undirected,349
543,18,99,Undirected,362
544,18,101,Undirected,731
545,18,106,Undirected,174
546,18,110,Undirected,1898
547,18,112,Undirected,428
548,18,115,Undirected,4200
549,18,124,Undirected,982
550,18,134,Undirected,4673
551,18,135,Undirected,6362
552,19,13,Undirected,468
554,19,15,Undirected,181
555,19,24,Undirected,3206
556,19,26,Undirected,10811
557,19,31,Undirected,756
558,19,37,Undirected,193
559,19,38,Undirected,241
560,19,41,Undirected,172
561,19,43,Undirected,422
562,19,47,Undirected,288
563,19,48,Undirected,10310
564,19,50,Undirected,561
565,19,54,Undirected,537
566,19,56,Undirected,549
567,19,60,Undirected,245
568,19,61,Undirected,3937
569,19,64,Undirected,224
570,19,65,Undirected,1030
571,19,67,Undirected,10600
572,19,71,Undirected,856
573,19,79,Undirected,4153
574,19,80,Undirected,11276
575,19,83,Undirected,193
576,19,84,Undirected,1716
577,19,85,Undirected,6132
578,19,94,Undirected,1421
579,19,96,Undirected,210
580,19,99,Undirected,793
581,19,103,Undirected,172
582,19,110,Undirected,1445
583,19,111,Undirected,7447
584,19,115,Undirected,4226
585,19,122,Undirected,150
586,19,124,Undirected,643
587,19,131,Undirected,1069
588,19,134,Undirected,1270
589,20,16,Undirected,920
590,20,22,Undirected,515
591,20,23,Undirected,1751
592,20,28,Undirected,4824
593,20,29,Undirected,2277
594,20,31,Undirected,921
595,20,39,Undirected,4130
596,20,46,Undirected,3414
598,20,73,Undirected,2282
599,20,77,Undirected,2269
600,20,83,Undirected,3978
601,20,88,Undirected,4665
602,20,97,Undirected,2899
603,20,99,Undirected,924
604,20,100,Undirected,1567
605,20,101,Undirected,1947
606,20,105,Undirected,594
607,20,111,Undirected,2095
608,20,116,Undirected,3535
609,20,118,Undirected,920
610,20,119,Undirected,2841
611,21,25,Undirected,1674
612,21,30,Undirected,11464
613,21,32,Undirected,4949
614,21,33,Undirected,4572
615,21,37,Undirected,9791
616,21,52,Undirected,3546
617,21,57,Undirected,13262
618,21,66,Undirected,2499
619,21,72,Undirected,2105
620,21,74,Undirected,3790
621,21,85,Undirected,3048
622,21,93,Undirected,3020
623,21,108,Undirected,3204
624,21,112,Undirected,2887
625,21,113,Undirected,2708
626,21,125,Undirected,3694
627,21,126,Undirected,1124
628,21,129,Undirected,4275
631,22,11,Undirected,180
632,22,14,Undirected,252
633,22,16,Undirected,600
634,22,23,Undirected,3548
635,22,24,Undirected,547
636,22,28,Undirected,2307
637,22,29,Undirected,2787
638,22,37,Undirected,213
639,22,39,Undirected,9747
640,22,41,Undirected,186
641,22,46,Undirected,9194
642,22,57,Undirected,424
643,22,60,Undirected,201
644,22,61,Undirected,277
